road_addr,building_x,building_y,entrance_x,entrance_y,floor_coun,building_c,x,y,near_r_x,near_r_y,near_rv_x,near_rv_y,dist_r_rv,reco_x,reco_y,reco_dist_m,reco_method
서울특별시 관악구 대학7길 36-7,"950470.367535","1941148.284224","950464.401682","1941145.729319","4.0","1","950464.401682","1941145.729319","950457.051","1941142.957","950459.260","1941144.294","2.580",,,,
서울특별시 관악구 대학7길 36-9,"950472.813506","1941137.350531","950466.213781","1941134.120608","2.0","1","950466.213781","1941134.120608","950461.409","1941131.590","950459.907","1941140.629","9.160",,,,
서울특별시 관악구 대학7길 38,"950465.813357","1941168.191841","950468.444967","1941171.549902","5.0","1","950468.444967","1941171.549902","950466.828","1941179.207","950466.823","1941179.527","0.320",,,,
서울특별시 관악구 대학7길 39,"950463.019079","1941188.524692","950465.557066","1941185.198148","5.0","1","950465.557066","1941185.198148","950466.823","1941179.206","950465.535","1941181.532","2.660",,,,
서울특별시 관악구 대학7길 41,"950474.174946","1941190.927352","950476.179661","1941189.441358","3.0","1","950476.179661","1941189.441358","950482.820","1941191.244","950477.209","1941183.792","9.330",,,,
서울특별시 관악구 대학7길 42,"950478.457014","1941171.179644","950482.291296","1941172.039341","5.0","1","950482.291296","1941172.039341","950487.640","1941173.492","950488.179","1941173.742","0.590",,,,
서울특별시 관악구 대학7길 42-4,"950480.863883","1941161.396256","950483.836476","1941164.624862","3.0","1","950483.836476","1941164.624862","950489.621","1941166.196","950490.138","1941166.076","0.530",,,,
서울특별시 관악구 대학7길 42-5,"950501.698249","1941159.940443","950496.867377","1941158.137232","5.0","1","950496.867377","1941158.137232","950492.157","1941156.858","950494.768","1941157.728","2.750",,,,
서울특별시 관악구 대학7길 42-6,"950484.662078","1941151.266969","950489.496251","1941150.618001","2.0","1","950489.496251","1941150.618001","950493.552","1941151.719","950494.064","1941151.742","0.510",,,,
서울특별시 관악구 대학7길 42-7,"950504.413041","1941149.122264","950499.129063","1941146.712422","4.0","1","950499.129063","1941146.712422","950495.201","1941145.646","950496.724","1941149.396","4.050",,,,
서울특별시 관악구 대학7길 42-10,"950487.585561","1941137.398901","950489.403238","1941137.390354","1.0","1","950489.403238","1941137.390354","950496.891","1941139.423","950495.049","1941148.741","9.500",,,,
서울특별시 관악구 대학7길 42-11,"950507.913076","1941136.819697","950502.999065","1941133.002928","4.0","1","950502.999065","1941133.002928","950498.934","1941131.899","950496.051","1941148.735","17.080",,,,
서울특별시 관악구 대학7길 43,"950490.101922","1941194.34067","950487.064364","1941189.567681","3.0","1","950487.064364","1941189.567681","950483.535","1941188.610","950486.602","1941189.570","3.210",,,,
서울특별시 관악구 대학7길 44,"950497.473727","1941174.12779","950493.334625","1941177.830999","5.0","1","950493.334625","1941177.830999","950486.934","1941176.093","950489.533","1941176.730","2.680",,,,
서울특별시 관악구 대학7길 47,"950501.714419","1941197.85841","950506.176215","1941193.310125","4.0","1","950506.176215","1941193.310125","950510.778","1941194.336","950506.651","1941188.942","6.790",,,,
서울특별시 관악구 대학7길 47-4,"950514.89963","1941215.26203","950511.030112","1941215.533325","2.0","1","950511.030112","1941215.533325","950507.045","1941214.645","950509.817","1941215.541","2.910",,,,
서울특별시 관악구 대학7길 47-5,"950496.429039","1941219.448919","950502.29841","1941217.632792","1.0","1","950502.29841","1941217.632792","950506.186","1941218.499","950507.164","1941218.892","1.050",,,,
서울특별시 관악구 대학7길 47-6,"950513.578745","1941223.927412","950509.193589","1941222.882836","3.0","1","950509.193589","1941222.882836","950505.398","1941222.037","950508.512","1941220.881","3.320",,,,
서울특별시 관악구 대학7길 47-7,"950494.721249","1941232.953281","950495.849264","1941230.00443","5.0","1","950495.849264","1941230.00443","950504.279","1941227.059","950507.173","1941220.556","7.120",,,,
서울특별시 관악구 대학7길 47-8,"950509.882787","1941237.199974","950504.618192","1941234.749271","5.0","1","950504.618192","1941234.749271","950504.279","1941227.059","950507.510","1941220.887","6.970",,,,
서울특별시 관악구 대학7길 48,"950510.182194","1941176.300649","950510.415539","1941183.653199","2.0","1","950510.415539","1941183.653199","950509.092","1941188.982","950509.649","1941187.260","1.810",,,,
서울특별시 관악구 대학7길 48-6,"950514.945351","1941163.622614","950517.05975","1941159.595268","2.0","1","950517.05975","1941159.595268","950523.472","1941160.814","950524.193","1941159.883","1.180",,,,
서울특별시 관악구 대학7길 48-8,"950518.367612","1941147.255632","950524.284833","1941145.352521","3.0","1","950524.284833","1941145.352521","950526.335","1941145.742","950526.797","1941148.219","2.520",,,,
서울특별시 관악구 대학7길 48-10,"950521.491954","1941135.117767","950525.181768","1941139.846552","3.0","1","950525.181768","1941139.846552","950527.376","1941140.264","950526.797","1941148.219","7.980",,,,
서울특별시 관악구 대학7길 49,"950519.189926","1941199.827208","950514.704516","1941204.043343","3.0","1","950514.704516","1941204.043343","950508.903","1941202.750","950512.750","1941202.884","3.850",,,,
서울특별시 관악구 대학7길 51,"950527.985928","1941205.078527","950526.786928","1941196.265495","5.0","1","950526.786928","1941196.265495","950527.700","1941192.479","950527.404","1941194.144","1.690",,,,
서울특별시 관악구 대학7길 52,"950524.168094","1941181.034948","950528.820605","1941185.499077","1.0","11","950528.820605","1941185.499077","950527.169","1941192.351","950525.715","1941191.158","1.880",,,,
서울특별시 관악구 대학7길 52 교사동,"950581.232561","1941098.713191","950528.820605","1941185.499077","4.0","11","950581.232561","1941098.713191","950530.104","1941130.801","950623.038","1941089.073","101.870",,,,
서울특별시 관악구 대학7길 52 창고,"950601.904876","1941153.209031","950528.820605","1941185.499077","1.0","11","950528.820605","1941185.499077","950527.169","1941192.351","950525.715","1941191.158","1.880",,,,
